data_somministrazione,fascia_anagrafica,vaccinazioni,booster
2021-12-12,80-89,200,14886
2021-12-12,90+,37,2403
2021-12-13,05-11,0,0
2021-12-13,12-19,5224,3149
2021-12-13,20-29,4100,24714
2021-12-13,30-39,4685,35588
2021-12-13,40-49,4174,66256
2021-12-13,50-59,3591,104583
2021-12-13,60-69,2320,104143
2021-12-13,70-79,1308,95118
2021-12-13,80-89,467,28138
2021-12-13,90+,136,5861
2021-12-14,05-11,0,0
2021-12-14,12-19,4643,3377
2021-12-14,20-29,3888,24429
2021-12-14,30-39,4477,36299
2021-12-14,40-49,4056,67925
2021-12-14,50-59,3624,108076
2021-12-14,60-69,2289,109106
2021-12-14,70-79,1345,104943
2021-12-14,80-89,560,32730
2021-12-14,90+,144,7256
2021-12-15,05-11,11,0
2021-12-15,12-19,4660,3516
2021-12-15,20-29,3732,24125
2021-12-15,30-39,4338,36522
2021-12-15,40-49,4234,69090
2021-12-15,50-59,3700,113082
2021-12-15,60-69,2284,115783
2021-12-15,70-79,1390,111163
2021-12-15,80-89,632,35659
2021-12-15,90+,200,8136
2021-12-16,05-11,657,0
2021-12-16,12-19,5336,3844
2021-12-16,20-29,3885,24184
2021-12-16,30-39,4613,35663
2021-12-16,40-49,4378,71383
2021-12-16,50-59,3891,113716
2021-12-16,60-69,2500,114875
2021-12-16,70-79,1502,112765
2021-12-16,80-89,698,35299
2021-12-16,90+,201,8416
2021-12-17,05-11,576,0
2021-12-17,12-19,6335,4335
2021-12-17,20-29,3979,26055
2021-12-17,30-39,5003,38807
2021-12-17,40-49,4589,80361
2021-12-17,50-59,3947,115445
2021-12-17,60-69,2419,109167
2021-12-17,70-79,1490,105020
2021-12-17,80-89,652,31014
2021-12-17,90+,170,6877
2021-12-18,05-11,968,0
2021-12-18,12-19,7420,4465
2021-12-18,20-29,3214,24013
2021-12-18,30-39,4242,35339
2021-12-18,40-49,3988,78083
2021-12-18,50-59,3496,117402
2021-12-18,60-69,1936,96675
2021-12-18,70-79,1007,82850
2021-12-18,80-89,436,24497
2021-12-18,90+,106,5330
2021-12-19,05-11,912,0
2021-12-19,12-19,4435,3713
2021-12-19,20-29,1846,17921
2021-12-19,30-39,2242,25055
2021-12-19,40-49,2243,52708
2021-12-19,50-59,1795,75472
2021-12-19,60-69,888,60340
2021-12-19,70-79,453,51058
2021-12-19,80-89,164,12209
2021-12-19,90+,32,1988
2021-12-20,05-11,751,0
2021-12-20,12-19,7288,6102
2021-12-20,20-29,4559,31609
2021-12-20,30-39,5101,38282
2021-12-20,40-49,4473,71635
2021-12-20,50-59,3874,104219
2021-12-20,60-69,2360,106221
2021-12-20,70-79,1332,91375
2021-12-20,80-89,560,23076
2021-12-20,90+,131,4883
2021-12-21,05-11,823,0
2021-12-21,12-19,7255,6947
2021-12-21,20-29,4495,33358
2021-12-21,30-39,4931,39612
2021-12-21,40-49,4483,71784
2021-12-21,50-59,3770,106445
2021-12-21,60-69,2347,106332
2021-12-21,70-79,1337,95995
2021-12-21,80-89,571,26732
2021-12-21,90+,189,6055
2021-12-22,05-11,885,0
2021-12-22,12-19,6947,7928
2021-12-22,20-29,4426,35307
2021-12-22,30-39,4555,39253
2021-12-22,40-49,4273,71164
2021-12-22,50-59,3691,103609
2021-12-22,60-69,2270,102118
2021-12-22,70-79,1383,92515
2021-12-22,80-89,619,26611
2021-12-22,90+,182,6105
2021-12-23,05-11,1097,0
2021-12-23,12-19,7170,8281
2021-12-23,20-29,4028,34339
2021-12-23,30-39,4114,34573
2021-12-23,40-49,4076,66660
2021-12-23,50-59,3550,94696
2021-12-23,60-69,2056,84202
2021-12-23,70-79,1187,76741
2021-12-23,80-89,574,22024
2021-12-23,90+,189,5333
2021-12-24,05-11,323,0
2021-12-24,12-19,3609,4486
2021-12-24,20-29,1886,19614
2021-12-24,30-39,1970,19037
2021-12-24,40-49,1927,37031
2021-12-24,50-59,1724,53684
2021-12-24,60-69,891,36935
2021-12-24,70-79,439,30323
2021-12-24,80-89,209,7926
2021-12-24,90+,51,1749
2021-12-25,05-11,37,0
2021-12-25,12-19,674,849
2021-12-25,20-29,265,3260
2021-12-25,30-39,322,3714
2021-12-25,40-49,326,6575
2021-12-25,50-59,286,9147
2021-12-25,60-69,118,5142
2021-12-25,70-79,44,3564
2021-12-25,80-89,17,682
2021-12-25,90+,5,117
2021-12-26,05-11,641,0
2021-12-26,12-19,2763,3965
2021-12-26,20-29,1091,18889
2021-12-26,30-39,1144,17973
2021-12-26,40-49,1273,30707
2021-12-26,50-59,1011,39864
2021-12-26,60-69,440,25661
2021-12-26,70-79,229,17819
2021-12-26,80-89,82,3607
2021-12-26,90+,10,563
2021-12-27,05-11,1649,0
2021-12-27,12-19,14179,13973
2021-12-27,20-29,5881,60680
2021-12-27,30-39,7057,54886
2021-12-27,40-49,6590,84358
2021-12-27,50-59,5680,112861
2021-12-27,60-69,3111,91967
2021-12-27,70-79,1679,68399
2021-12-27,80-89,561,14569
2021-12-27,90+,147,2868
2021-12-28,05-11,2327,0
2021-12-28,12-19,11622,16457
2021-12-28,20-29,5373,56631
2021-12-28,30-39,6111,56467
2021-12-28,40-49,5898,90077
2021-12-28,50-59,5206,120326
2021-12-28,60-69,3105,105352
2021-12-28,70-79,1648,84903
2021-12-28,80-89,706,19817
2021-12-28,90+,168,4089
2021-12-29,05-11,2325,0
2021-12-29,12-19,9215,17100
2021-12-29,20-29,4241,49742
2021-12-29,30-39,4812,55436
2021-12-29,40-49,4722,88219
2021-12-29,50-59,4167,122953
2021-12-29,60-69,2461,104228
2021-12-29,70-79,1391,87166
2021-12-29,80-89,540,21231
2021-12-29,90+,153,4486
2021-12-30,05-11,2233,0
2021-12-30,12-19,7614,13689
2021-12-30,20-29,3653,39000
2021-12-30,30-39,4530,49500
2021-12-30,40-49,4538,80214
2021-12-30,50-59,4195,114223
2021-12-30,60-69,2530,97569
2021-12-30,70-79,1463,80730
2021-12-30,80-89,605,20423
2021-12-30,90+,184,4399
2021-12-31,05-11,801,0
2021-12-31,12-19,3168,6489
2021-12-31,20-29,1646,17038
2021-12-31,30-39,2112,25929
2021-12-31,40-49,2173,44071
2021-12-31,50-59,1965,60523
2021-12-31,60-69,1175,46568
2021-12-31,70-79,591,36267
2021-12-31,80-89,254,8781
2021-12-31,90+,74,1700
2022-01-01,05-11,195,0
2022-01-01,12-19,944,1690
2022-01-01,20-29,373,6113
2022-01-01,30-39,484,8907
2022-01-01,40-49,574,12896
2022-01-01,50-59,487,16696
2022-01-01,60-69,234,10691
2022-01-01,70-79,123,6089
2022-01-01,80-89,35,1465
2022-01-01,90+,7,253
2022-01-02,05-11,2131,0
2022-01-02,12-19,6812,9194
2022-01-02,20-29,2485,35055
2022-01-02,30-39,2992,36387
2022-01-02,40-49,3136,51560
2022-01-02,50-59,2662,65201
2022-01-02,60-69,1414,43918
2022-01-02,70-79,591,27678
2022-01-02,80-89,273,6693
2022-01-02,90+,50,1012
2022-01-03,05-11,2545,0
2022-01-03,12-19,12790,17303
2022-01-03,20-29,6190,70723
2022-01-03,30-39,7011,65205
2022-01-03,40-49,6784,88399
2022-01-03,50-59,6044,110227
2022-01-03,60-69,3509,87791
2022-01-03,70-79,1757,62468
2022-01-03,80-89,683,15835
2022-01-03,90+,134,2952
2022-01-04,05-11,2970,0
2022-01-04,12-19,11755,20090
2022-01-04,20-29,6047,75788
2022-01-04,30-39,6790,69722
2022-01-04,40-49,6509,94656
2022-01-04,50-59,5756,119556
2022-01-04,60-69,3460,96100
2022-01-04,70-79,1792,72938
2022-01-04,80-89,761,19853
2022-01-04,90+,170,4216
2022-01-05,05-11,3355,0
2022-01-05,12-19,10160,18997
2022-01-05,20-29,5481,72834
2022-01-05,30-39,5683,70471
2022-01-05,40-49,5621,97918
2022-01-05,50-59,4946,120191
2022-01-05,60-69,2803,91271
2022-01-05,70-79,1435,66379
2022-01-05,80-89,598,19041
2022-01-05,90+,173,4143
2022-01-06,05-11,7321,0
2022-01-06,12-19,3880,11543
2022-01-06,20-29,2436,38941
2022-01-06,30-39,2662,39213
2022-01-06,40-49,2509,53049
2022-01-06,50-59,2271,60769
2022-01-06,60-69,1226,38945
2022-01-06,70-79,619,23950
2022-01-06,80-89,193,6773
2022-01-06,90+,50,1262
2022-01-07,05-11,16394,0
2022-01-07,12-19,12167,21115
2022-01-07,20-29,6254,69646
2022-01-07,30-39,7576,72549
2022-01-07,40-49,7178,101230
2022-01-07,50-59,6521,119906
2022-01-07,60-69,4033,90192
2022-01-07,70-79,2032,60276
2022-01-07,80-89,856,16686
2022-01-07,90+,188,3447
2022-01-08,05-11,22992,0
2022-01-08,12-19,10900,20714
2022-01-08,20-29,4646,61011
2022-01-08,30-39,5795,68257
2022-01-08,40-49,5565,95691
2022-01-08,50-59,5220,114741
2022-01-08,60-69,2908,76629
2022-01-08,70-79,1477,49629
2022-01-08,80-89,574,13850
2022-01-08,90+,130,2789
2022-01-09,05-11,20369,0
2022-01-09,12-19,6501,16291
2022-01-09,20-29,2906,41628
2022-01-09,30-39,3407,45437
2022-01-09,40-49,3266,62336
2022-01-09,50-59,3109,71950
2022-01-09,60-69,1514,45782
2022-01-09,70-79,759,27485
2022-01-09,80-89,349,7474
2022-01-09,90+,54,1265
2022-01-10,05-11,16249,0
2022-01-10,12-19,10289,29555
2022-01-10,20-29,6534,68638
2022-01-10,30-39,7346,71968
2022-01-10,40-49,6996,95940
2022-01-10,50-59,6507,110841
2022-01-10,60-69,3818,89233
2022-01-10,70-79,2013,59122
2022-01-10,80-89,723,14917
2022-01-10,90+,167,2909
2022-01-11,05-11,17395,0
2022-01-11,12-19,9711,32868
2022-01-11,20-29,6360,71918
2022-01-11,30-39,7128,77817
2022-01-11,40-49,6814,102969
2022-01-11,50-59,6426,117822
2022-01-11,60-69,4006,95894
2022-01-11,70-79,2166,66122
2022-01-11,80-89,946,18379
2022-01-11,90+,230,4086
2022-01-12,05-11,19160,0
2022-01-12,12-19,8627,32227
2022-01-12,20-29,5678,70828
2022-01-12,30-39,6360,77120
2022-01-12,40-49,5810,102722
2022-01-12,50-59,5697,115590
2022-01-12,60-69,3512,94412
2022-01-12,70-79,1980,66018
2022-01-12,80-89,820,18983
2022-01-12,90+,242,4254
2022-01-13,05-11,19247,0
2022-01-13,12-19,8541,32463
2022-01-13,20-29,5628,72190
2022-01-13,30-39,6375,78579
2022-01-13,40-49,5895,103278
2022-01-13,50-59,5576,115262
2022-01-13,60-69,3498,90727
2022-01-13,70-79,2093,64424
2022-01-13,80-89,932,19600
2022-01-13,90+,260,4669
2022-01-14,05-11,10863,0
2022-01-14,12-19,7629,41249
2022-01-14,20-29,5093,72577
2022-01-14,30-39,5769,82693
2022-01-14,40-49,5567,110325
2022-01-14,50-59,5296,119871
2022-01-14,60-69,3193,84484
2022-01-14,70-79,1651,56503
2022-01-14,80-89,851,17329
2022-01-14,90+,228,4258
2022-01-15,05-11,6606,0
2022-01-15,12-19,7932,48470
2022-01-15,20-29,4492,71492
2022-01-15,30-39,5129,81573
2022-01-15,40-49,4993,112238
2022-01-15,50-59,4678,119588
2022-01-15,60-69,2492,72983
2022-01-15,70-79,1350,44335
2022-01-15,80-89,666,15604
2022-01-15,90+,176,3569
2022-01-16,05-11,11938,0
2022-01-16,12-19,5462,42897
2022-01-16,20-29,2636,44477
2022-01-16,30-39,2956,47204
2022-01-16,40-49,2703,63882
2022-01-16,50-59,2587,68270
2022-01-16,60-69,1344,41164
2022-01-16,70-79,647,24444
2022-01-16,80-89,365,7904
2022-01-16,90+,67,1550
2022-01-17,05-11,19404,0
2022-01-17,12-19,7995,36231
2022-01-17,20-29,5382,68980
2022-01-17,30-39,5721,71566
2022-01-17,40-49,5255,91735
2022-01-17,50-59,4883,91830
2022-01-17,60-69,3079,69301
2022-01-17,70-79,1702,43914
2022-01-17,80-89,717,13845
2022-01-17,90+,167,3088
2022-01-18,05-11,24087,0
2022-01-18,12-19,7743,40019
2022-01-18,20-29,5134,70595
2022-01-18,30-39,5432,72690
2022-01-18,40-49,4996,93235
2022-01-18,50-59,4804,95644
2022-01-18,60-69,2950,75598
2022-01-18,70-79,1777,50241
2022-01-18,80-89,850,15933
2022-01-18,90+,235,3847
2022-01-19,05-11,25582,0
2022-01-19,12-19,7224,40679
2022-01-19,20-29,4664,69269
2022-01-19,30-39,4948,69789
2022-01-19,40-49,4497,89140
2022-01-19,50-59,4328,92568
2022-01-19,60-69,2788,73853
2022-01-19,70-79,1651,47747
2022-01-19,80-89,823,16471
2022-01-19,90+,270,4032
2022-01-20,05-11,22084,0
2022-01-20,12-19,7292,41651
2022-01-20,20-29,4871,68790
2022-01-20,30-39,5049,70875
2022-01-20,40-49,4712,87215
2022-01-20,50-59,4438,91331
2022-01-20,60-69,2860,72510
2022-01-20,70-79,1616,47152
2022-01-20,80-89,829,16053
2022-01-20,90+,228,4002
2022-01-21,05-11,14199,0
2022-01-21,12-19,5983,43273
2022-01-21,20-29,4164,69088
2022-01-21,30-39,4541,75207
2022-01-21,40-49,4250,93264
2022-01-21,50-59,3961,92115
2022-01-21,60-69,2324,64354
2022-01-21,70-79,1320,39928
2022-01-21,80-89,673,13955
2022-01-21,90+,196,3469
2022-01-22,05-11,9911,0
2022-01-22,12-19,4892,52443
2022-01-22,20-29,3038,65689
2022-01-22,30-39,3478,71183
2022-01-22,40-49,3117,91696
2022-01-22,50-59,3100,91225
2022-01-22,60-69,1589,52327
2022-01-22,70-79,907,30286
2022-01-22,80-89,437,11779
2022-01-22,90+,106,2889
2022-01-23,05-11,19898,0
2022-01-23,12-19,4573,38441
2022-01-23,20-29,2061,39514
2022-01-23,30-39,2197,40510
2022-01-23,40-49,2092,52379
2022-01-23,50-59,1995,52815
2022-01-23,60-69,934,28354
2022-01-23,70-79,498,16145
2022-01-23,80-89,262,5891
2022-01-23,90+,55,1260
2022-01-24,05-11,25035,0
2022-01-24,12-19,7637,39670
2022-01-24,20-29,4515,68351
2022-01-24,30-39,4938,66871
2022-01-24,40-49,4456,80322
2022-01-24,50-59,4346,79527
2022-01-24,60-69,2667,55920
2022-01-24,70-79,1422,33632
2022-01-24,80-89,662,11330
2022-01-24,90+,182,2444
2022-01-25,05-11,29685,0
2022-01-25,12-19,8119,41135
2022-01-25,20-29,4509,68162
2022-01-25,30-39,4839,67710
2022-01-25,40-49,4477,83141
2022-01-25,50-59,4476,80764
2022-01-25,60-69,2748,58635
2022-01-25,70-79,1558,36983
2022-01-25,80-89,730,13256
2022-01-25,90+,213,3169
2022-01-26,05-11,27446,0
2022-01-26,12-19,7541,40065
2022-01-26,20-29,4288,68151
2022-01-26,30-39,4920,65691
2022-01-26,40-49,4424,78469
2022-01-26,50-59,4298,77684
2022-01-26,60-69,2645,54908
2022-01-26,70-79,1639,35340
2022-01-26,80-89,794,12931
2022-01-26,90+,198,3383
2022-01-27,05-11,19761,0
2022-01-27,12-19,6452,39837
2022-01-27,20-29,4151,68324
2022-01-27,30-39,4424,65678
2022-01-27,40-49,4188,76823
2022-01-27,50-59,4273,77772
2022-01-27,60-69,2733,53962
2022-01-27,70-79,1539,34428
2022-01-27,80-89,747,12893
2022-01-27,90+,220,3411
2022-01-28,05-11,26155,0
2022-01-28,12-19,7923,42827
2022-01-28,20-29,4179,66725
2022-01-28,30-39,4737,70721
2022-01-28,40-49,4514,84174
2022-01-28,50-59,4970,80410
2022-01-28,60-69,3092,49701
2022-01-28,70-79,1722,29026
2022-01-28,80-89,769,10971
2022-01-28,90+,219,2792
2022-01-29,05-11,40379,0
2022-01-29,12-19,8037,50816
2022-01-29,20-29,3319,64452
2022-01-29,30-39,3816,67822
2022-01-29,40-49,3592,80643
2022-01-29,50-59,4243,77063
2022-01-29,60-69,2263,39101
2022-01-29,70-79,1198,21558
2022-01-29,80-89,604,8645
2022-01-29,90+,158,2229
2022-01-30,05-11,31752,0
2022-01-30,12-19,5475,36512
2022-01-30,20-29,2184,37059
2022-01-30,30-39,2553,37055
2022-01-30,40-49,2438,44451
2022-01-30,50-59,2844,42353
2022-01-30,60-69,1526,21776
2022-01-30,70-79,790,11280
2022-01-30,80-89,411,4474
2022-01-30,90+,84,946
2022-01-31,05-11,23914,0
2022-01-31,12-19,8339,38688
2022-01-31,20-29,4441,62194
2022-01-31,30-39,5369,58329
2022-01-31,40-49,4883,64343
2022-01-31,50-59,5878,62018
2022-01-31,60-69,4038,39228
2022-01-31,70-79,2183,22629
2022-01-31,80-89,888,8399
2022-01-31,90+,211,1962
2022-02-01,05-11,28240,0
2022-02-01,12-19,8453,40906
2022-02-01,20-29,4595,57573
2022-02-01,30-39,5195,51554
2022-02-01,40-49,4836,56140
2022-02-01,50-59,5799,53322
2022-02-01,60-69,4183,36632
2022-02-01,70-79,2479,22282
2022-02-01,80-89,1113,8754
2022-02-01,90+,269,2150
2022-02-02,05-11,27502,0
2022-02-02,12-19,7759,38547
2022-02-02,20-29,4434,50758
2022-02-02,30-39,5022,45521
2022-02-02,40-49,4638,50117
2022-02-02,50-59,5506,46942
2022-02-02,60-69,4071,33336
2022-02-02,70-79,2500,21560
2022-02-02,80-89,1128,8674
2022-02-02,90+,307,2288
2022-02-03,05-11,26946,0
2022-02-03,12-19,6627,35922
2022-02-03,20-29,4067,47476
2022-02-03,30-39,4504,41998
2022-02-03,40-49,4307,46117
2022-02-03,50-59,5385,42469
2022-02-03,60-69,4028,30354
2022-02-03,70-79,2438,19721
2022-02-03,80-89,1180,8818
2022-02-03,90+,321,2372
2022-02-04,05-11,30131,0
2022-02-04,12-19,8917,38431
2022-02-04,20-29,4491,45881
2022-02-04,30-39,5587,43296
2022-02-04,40-49,5384,46133
2022-02-04,50-59,7181,40818
2022-02-04,60-69,5379,27334
2022-02-04,70-79,3263,17512
2022-02-04,80-89,1458,7701
2022-02-04,90+,337,2059
2022-02-05,05-11,47118,0
2022-02-05,12-19,8925,44466
2022-02-05,20-29,3724,41024
2022-02-05,30-39,4597,41467
2022-02-05,40-49,4676,43724
2022-02-05,50-59,6231,37677
2022-02-05,60-69,4224,21035
2022-02-05,70-79,2445,11973
2022-02-05,80-89,1141,5696
2022-02-05,90+,292,1359
2022-02-06,05-11,34673,0
2022-02-06,12-19,5030,23948
2022-02-06,20-29,2112,19281
2022-02-06,30-39,2672,19128
2022-02-06,40-49,2542,19899
2022-02-06,50-59,3597,16788
2022-02-06,60-69,2412,9047
2022-02-06,70-79,1263,4950
2022-02-06,80-89,605,2503
2022-02-06,90+,130,615
2022-02-07,05-11,23588,0
2022-02-07,12-19,7621,28992
2022-02-07,20-29,4458,38129
2022-02-07,30-39,5247,33327
2022-02-07,40-49,5043,32773
2022-02-07,50-59,7627,28458
2022-02-07,60-69,6004,19676
2022-02-07,70-79,3542,12512
2022-02-07,80-89,1493,5476
2022-02-07,90+,298,1361
2022-02-08,05-11,25093,0
2022-02-08,12-19,7175,28313
2022-02-08,20-29,4527,34216
2022-02-08,30-39,5267,30353
2022-02-08,40-49,5060,28835
2022-02-08,50-59,7657,26487
2022-02-08,60-69,6129,18836
2022-02-08,70-79,3761,12465
2022-02-08,80-89,1589,5715
2022-02-08,90+,388,1608
2022-02-09,05-11,21471,0
2022-02-09,12-19,6272,24838
2022-02-09,20-29,3721,30192
2022-02-09,30-39,4606,26621
2022-02-09,40-49,4447,26161
2022-02-09,50-59,6866,23666
2022-02-09,60-69,5501,17081
2022-02-09,70-79,3527,11373
2022-02-09,80-89,1665,5433
2022-02-09,90+,452,1610
2022-02-10,05-11,21528,0
2022-02-10,12-19,5848,24169
2022-02-10,20-29,3851,30174
2022-02-10,30-39,4562,26603
2022-02-10,40-49,4416,25245
2022-02-10,50-59,6884,23232
2022-02-10,60-69,5577,16214
2022-02-10,70-79,3511,11025
2022-02-10,80-89,1680,5508
2022-02-10,90+,465,1666
2022-02-11,05-11,23655,0
2022-02-11,12-19,6619,26025
2022-02-11,20-29,3849,28864
2022-02-11,30-39,4860,28406
2022-02-11,40-49,4627,27049
2022-02-11,50-59,7236,23051
2022-02-11,60-69,5552,14484
2022-02-11,70-79,3507,9217
2022-02-11,80-89,1675,4565
2022-02-11,90+,456,1356
2022-02-12,05-11,38356,0
2022-02-12,12-19,7248,29699
2022-02-12,20-29,3081,25890
2022-02-12,30-39,4143,26318
2022-02-12,40-49,4019,25766
2022-02-12,50-59,6349,22160
2022-02-12,60-69,4303,11484
2022-02-12,70-79,2503,6429
2022-02-12,80-89,1350,3390
2022-02-12,90+,330,945
2022-02-13,05-11,24343,0
2022-02-13,12-19,3757,15312
2022-02-13,20-29,1583,11092
2022-02-13,30-39,2070,11655
2022-02-13,40-49,2037,11607
2022-02-13,50-59,3256,9883
2022-02-13,60-69,2247,4786
2022-02-13,70-79,1271,2680
2022-02-13,80-89,615,1392
2022-02-13,90+,142,406
2022-02-14,05-11,14434,0
2022-02-14,12-19,5104,17592
2022-02-14,20-29,3265,21329
2022-02-14,30-39,4071,19617
2022-02-14,40-49,3812,18689
2022-02-14,50-59,6215,17777
2022-02-14,60-69,4909,10801
2022-02-14,70-79,2989,6843
2022-02-14,80-89,1401,3244
2022-02-14,90+,339,904
2022-02-15,05-11,15268,0
2022-02-15,12-19,5043,17422
2022-02-15,20-29,3597,23261
2022-02-15,30-39,4170,20987
2022-02-15,40-49,3976,19896
2022-02-15,50-59,6367,18748
2022-02-15,60-69,5010,11673
2022-02-15,70-79,3071,7523
2022-02-15,80-89,1460,3534
2022-02-15,90+,367,995
2022-02-16,05-11,15367,0
2022-02-16,12-19,4434,15761
2022-02-16,20-29,3140,19668
2022-02-16,30-39,3699,17570
2022-02-16,40-49,3521,16781
2022-02-16,50-59,5729,15921
2022-02-16,60-69,4605,10079
2022-02-16,70-79,2977,6367
2022-02-16,80-89,1544,3380
2022-02-16,90+,479,1100
2022-02-17,05-11,14502,0
2022-02-17,12-19,4226,13784
2022-02-17,20-29,2909,18444
2022-02-17,30-39,3570,16607
2022-02-17,40-49,3255,16085
2022-02-17,50-59,5404,14600
2022-02-17,60-69,4186,9108
2022-02-17,70-79,2837,5685
2022-02-17,80-89,1430,3120
2022-02-17,90+,453,1036
2022-02-18,05-11,15804,0
2022-02-18,12-19,4714,17052
2022-02-18,20-29,2970,20116
2022-02-18,30-39,3770,19893
2022-02-18,40-49,3670,19114
2022-02-18,50-59,6105,17177
2022-02-18,60-69,4627,9813
2022-02-18,70-79,2853,5707
2022-02-18,80-89,1516,3011
2022-02-18,90+,437,983
2022-02-19,05-11,26465,0
2022-02-19,12-19,5267,19034
2022-02-19,20-29,2535,17789
2022-02-19,30-39,3112,17794
2022-02-19,40-49,2911,17364
2022-02-19,50-59,5181,15002
2022-02-19,60-69,3451,7091
2022-02-19,70-79,2000,3658
2022-02-19,80-89,1112,1971
2022-02-19,90+,302,568
2022-02-20,05-11,18988,0
2022-02-20,12-19,2725,8582
2022-02-20,20-29,1170,7203
2022-02-20,30-39,1523,7104
2022-02-20,40-49,1382,6978
2022-02-20,50-59,2415,5816
2022-02-20,60-69,1611,2528
2022-02-20,70-79,923,1284
2022-02-20,80-89,474,663
2022-02-20,90+,120,177
2022-02-21,05-11,10933,0
2022-02-21,12-19,4142,12975
2022-02-21,20-29,2848,18556
2022-02-21,30-39,3219,16418
2022-02-21,40-49,2959,14709
2022-02-21,50-59,5584,12890
2022-02-21,60-69,4135,7645
2022-02-21,70-79,2520,4101
2022-02-21,80-89,1186,1997
2022-02-21,90+,305,547
2022-02-22,05-11,11840,0
2022-02-22,12-19,3878,11938
2022-02-22,20-29,2807,16959
2022-02-22,30-39,3177,15003
2022-02-22,40-49,2902,13786
2022-02-22,50-59,4932,11941
2022-02-22,60-69,3638,7161
2022-02-22,70-79,2324,4288
2022-02-22,80-89,1247,2123
2022-02-22,90+,370,689
2022-02-23,05-11,9759,0
2022-02-23,12-19,3426,11007
2022-02-23,20-29,2618,16307
2022-02-23,30-39,2992,14339
2022-02-23,40-49,2671,12887
2022-02-23,50-59,4514,11106
2022-02-23,60-69,3452,6765
2022-02-23,70-79,2243,4139
2022-02-23,80-89,1278,2252
2022-02-23,90+,370,686
2022-02-24,05-11,9994,0
2022-02-24,12-19,3138,10476
2022-02-24,20-29,2508,16132
2022-02-24,30-39,2778,13824
2022-02-24,40-49,2544,12923
2022-02-24,50-59,4384,11268
2022-02-24,60-69,3253,6638
2022-02-24,70-79,2222,4087
2022-02-24,80-89,1248,2135
2022-02-24,90+,398,745
2022-02-25,05-11,10816,0
2022-02-25,12-19,3717,13068
2022-02-25,20-29,2447,17604
2022-02-25,30-39,2908,16865
2022-02-25,40-49,2768,15836
2022-02-25,50-59,4718,13523
2022-02-25,60-69,3525,7151
2022-02-25,70-79,2186,3969
2022-02-25,80-89,1218,2073
2022-02-25,90+,353,712
2022-02-26,05-11,18804,0
2022-02-26,12-19,4081,16464
2022-02-26,20-29,1988,16729
2022-02-26,30-39,2566,16381
2022-02-26,40-49,2336,15777
2022-02-26,50-59,3903,13184
2022-02-26,60-69,2473,5792
2022-02-26,70-79,1635,2887
2022-02-26,80-89,965,1481
2022-02-26,90+,262,383
2022-02-27,05-11,13705,0
2022-02-27,12-19,1872,7970
2022-02-27,20-29,882,6691
2022-02-27,30-39,1098,6408
2022-02-27,40-49,918,6149
2022-02-27,50-59,1817,5000
2022-02-27,60-69,1098,2089
2022-02-27,70-79,664,896
2022-02-27,80-89,344,491
2022-02-27,90+,79,134
2022-02-28,05-11,6510,0
2022-02-28,12-19,3340,13273
2022-02-28,20-29,2341,17092
2022-02-28,30-39,2686,15422
2022-02-28,40-49,2308,13152
2022-02-28,50-59,4551,11344
2022-02-28,60-69,3325,6262
2022-02-28,70-79,1974,3385
2022-02-28,80-89,1073,1486
2022-02-28,90+,283,447
2022-03-01,05-11,7111,0
2022-03-01,12-19,2387,7890
2022-03-01,20-29,1720,11614
2022-03-01,30-39,1976,10001
2022-03-01,40-49,1823,8898
2022-03-01,50-59,3008,7312
2022-03-01,60-69,2108,4265
2022-03-01,70-79,1375,2455
2022-03-01,80-89,818,1269
2022-03-01,90+,235,373
2022-03-02,05-11,6505,0
2022-03-02,12-19,2178,6547
2022-03-02,20-29,1872,10574
2022-03-02,30-39,2063,9417
2022-03-02,40-49,1826,8741
2022-03-02,50-59,2780,7092
2022-03-02,60-69,2100,4185
2022-03-02,70-79,1514,2472
2022-03-02,80-89,797,1251
2022-03-02,90+,254,398
2022-03-03,05-11,6493,0
2022-03-03,12-19,2255,6997
2022-03-03,20-29,1914,11566
2022-03-03,30-39,2153,10502
2022-03-03,40-49,1916,9275
2022-03-03,50-59,2949,7805
2022-03-03,60-69,2155,4599
2022-03-03,70-79,1454,2478
2022-03-03,80-89,904,1358
2022-03-03,90+,296,433
2022-03-04,05-11,6623,0
2022-03-04,12-19,2363,8681
2022-03-04,20-29,1874,12633
2022-03-04,30-39,2109,12154
2022-03-04,40-49,2089,10845
2022-03-04,50-59,3049,9323
2022-03-04,60-69,2250,5019
2022-03-04,70-79,1496,2512
2022-03-04,80-89,913,1296
2022-03-04,90+,306,421
2022-03-05,05-11,11027,0
2022-03-05,12-19,2466,9294
2022-03-05,20-29,1426,11354
2022-03-05,30-39,1815,11569
2022-03-05,40-49,1511,10994
2022-03-05,50-59,2300,8488
2022-03-05,60-69,1415,3579
2022-03-05,70-79,962,1673
2022-03-05,80-89,561,778
2022-03-05,90+,156,199
2022-03-06,05-11,5494,0
2022-03-06,12-19,774,3243
2022-03-06,20-29,514,3395
2022-03-06,30-39,626,3409
2022-03-06,40-49,499,3014
2022-03-06,50-59,665,2382
2022-03-06,60-69,410,1009
2022-03-06,70-79,225,446
2022-03-06,80-89,142,227
2022-03-06,90+,59,60
2022-03-07,05-11,3548,0
2022-03-07,12-19,1805,6930
2022-03-07,20-29,1491,11134
